model,dataset,hint_condition,comparison,n,accuracy_delta_mean,accuracy_ci_low,accuracy_ci_high,accuracy_mcnemar_p,accuracy_effect_size_d,hint_follow_delta_mean,confidence_delta_mean,confidence_test,confidence_p,rationale_word_delta_mean,rationale_test,rationale_p,accuracy_mcnemar_p_fdr,confidence_p_fdr,rationale_p_fdr
gpt-4.1,commonsense_qa,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,-0.1,-0.2,-0.025,0.13361440253771584,-0.32914029430219166,0.0,-0.75,wilcoxon,0.033894853524689246,2.075,paired_t,0.0050568450973330886,1.0,0.11298284508229749,0.03346254777704417
gpt-4.1,commonsense_qa,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,-0.125,-0.225,-0.025,0.07363827012030258,-0.37321001364608947,0.0,-0.925,wilcoxon,0.0058075960409265425,2.075,wilcoxon,0.004747184315672799,1.0,0.04355697030694907,0.03346254777704417
gpt-4.1,commonsense_qa,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,-0.025,-0.075,0.0,1.0,-0.15811388300841897,0.0,-0.625,wilcoxon,0.06715577795341199,-0.125,paired_t,0.8441510765317518,1.0,0.1831521216911236,0.9379456405908353
gpt-4.1,commonsense_qa,no_hint,mild_skeptical_question_vs_neutral,40,0.075,-0.025,0.175,0.37109336952269756,0.21434180268198583,0.0,0.175,wilcoxon,0.675616217467963,0.75,wilcoxon,0.3256221458792813,1.0,0.763024600552995,0.48843321881892193
gpt-4.1,commonsense_qa,no_hint,strong_judgment_question_vs_neutral,40,0.0,-0.1,0.1,0.6170750774519739,0.0,0.0,-0.075,wilcoxon,0.7484817611438426,1.325,paired_t,0.035731018307771145,1.0,0.763024600552995,0.10498341212119769
gpt-4.1,commonsense_qa,no_hint,strong_judgment_statement_vs_neutral,40,0.0,-0.1,0.1,0.6170750774519739,0.0,0.0,0.2,wilcoxon,0.3951080685904922,0.725,wilcoxon,0.5416703743856222,1.0,0.6578670391214998,0.706526575285594
gpt-4.1,gsm8k,no_hint,mild_skeptical_question_vs_neutral,40,0.05,0.0,0.125,0.47950012218695337,0.22652988649112996,0.0,-0.125,wilcoxon,0.31731050786291415,1.95,wilcoxon,0.02245302181513168,1.0,0.5977484960464553,0.07484340605043895
gpt-4.1,gsm8k,no_hint,strong_judgment_question_vs_neutral,40,0.025,0.0,0.075,1.0,0.15811388300841897,0.0,-0.05,wilcoxon,0.31731050786291415,2.875,paired_t,0.003659086236656097,1.0,0.5977484960464553,0.03346254777704417
gpt-4.1,gsm8k,no_hint,strong_judgment_statement_vs_neutral,40,0.05,0.0,0.125,0.47950012218695337,0.22652988649112996,0.0,0.075,wilcoxon,0.6547208460185769,0.775,paired_t,0.4016124816288998,1.0,0.763024600552995,0.5737321166127141
gpt-4.1,truthful_qa_mc,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,0.05,0.0,0.125,0.47950012218695337,0.22652988649112993,-0.025,-0.9,wilcoxon,0.0280292833236536,1.125,paired_t,0.05085844260861258,1.0,0.11298284508229749,0.11736563678910596
