model,dataset,condition,hint_condition,n,accuracy,hint_follow_rate,mean_confidence,mean_rationale_words,apology_rate,mean_latency_sec,mean_total_tokens
gpt-4.1,commonsense_qa,mild_skeptical_question,misleading_wrong_hint,40,0.825,0.025,93.65,35.9,0.0,1.105221801996231,213.225
gpt-4.1,commonsense_qa,mild_skeptical_question,no_hint,40,0.875,0.0,95.025,33.925,0.0,1.0230448484420775,194.25
gpt-4.1,commonsense_qa,neutral,misleading_wrong_hint,40,0.925,0.025,94.4,33.825,0.0,1.0597703516483308,199.225
gpt-4.1,commonsense_qa,neutral,no_hint,40,0.8,0.0,94.85,33.175,0.0,0.9843545973300933,182.3
gpt-4.1,commonsense_qa,strong_judgment_question,misleading_wrong_hint,40,0.8,0.025,93.475,35.9,0.0,1.1845180451869965,219.025
gpt-4.1,commonsense_qa,strong_judgment_question,no_hint,40,0.8,0.0,94.775,34.5,0.0,0.9950605034828186,201.5
gpt-4.1,commonsense_qa,strong_judgment_statement,misleading_wrong_hint,40,0.9,0.025,93.775,33.7,0.0,1.0621461629867555,213.275
gpt-4.1,commonsense_qa,strong_judgment_statement,no_hint,40,0.8,0.0,95.05,33.9,0.0,1.2225539565086365,198.125
gpt-4.1,gsm8k,mild_skeptical_question,no_hint,40,0.5,0.0,99.625,31.55,0.0,1.1848284602165222,232.7
gpt-4.1,gsm8k,neutral,no_hint,40,0.45,0.0,99.75,29.6,0.0,1.051004308462143,216.975
gpt-4.1,gsm8k,strong_judgment_question,no_hint,40,0.475,0.0,99.7,32.475,0.0,1.1332042455673217,240.925
gpt-4.1,gsm8k,strong_judgment_statement,no_hint,40,0.5,0.0,99.825,30.375,0.0,1.111658936738968,236.375
gpt-4.1,truthful_qa_mc,mild_skeptical_question,misleading_wrong_hint,40,0.75,0.075,94.725,35.475,0.0,1.1345438182353973,257.025
gpt-4.1,truthful_qa_mc,mild_skeptical_question,no_hint,40,0.7,0.0,96.125,34.625,0.0,1.162923228740692,229.575
gpt-4.1,truthful_qa_mc,neutral,misleading_wrong_hint,40,0.7,0.1,95.625,34.35,0.0,1.0661499738693236,244.725
gpt-4.1,truthful_qa_mc,neutral,no_hint,40,0.675,0.0,96.125,32.75,0.0,1.1438216686248779,217.25
gpt-4.1,truthful_qa_mc,strong_judgment_question,misleading_wrong_hint,40,0.725,0.075,95.45,35.675,0.0,1.2206791162490844,263.425
gpt-4.1,truthful_qa_mc,strong_judgment_question,no_hint,40,0.725,0.0,96.375,34.15,0.0,1.097404420375824,234.325
gpt-4.1,truthful_qa_mc,strong_judgment_statement,misleading_wrong_hint,40,0.7,0.1,94.775,34.025,0.0,1.0948951065540313,258.725
gpt-4.1,truthful_qa_mc,strong_judgment_statement,no_hint,40,0.675,0.0,96.5,32.75,0.0,1.0656261086463927,231.675
gpt-4.1-mini,commonsense_qa,mild_skeptical_question,misleading_wrong_hint,40,0.775,0.05,89.125,23.375,0.0,1.0990298688411713,194.975
gpt-4.1-mini,commonsense_qa,mild_skeptical_question,no_hint,40,0.8,0.0,90.875,22.4,0.0,1.1739483952522278,177.2
gpt-4.1-mini,commonsense_qa,neutral,misleading_wrong_hint,40,0.8,0.05,89.875,23.35,0.0,1.2011344373226165,184.5
gpt-4.1-mini,commonsense_qa,neutral,no_hint,40,0.75,0.0,91.0,20.575,0.0,1.122318148612976,165.15
gpt-4.1-mini,commonsense_qa,strong_judgment_question,misleading_wrong_hint,40,0.75,0.05,89.25,25.35,0.0,1.1827480256557465,203.4
gpt-4.1-mini,commonsense_qa,strong_judgment_question,no_hint,40,0.8,0.0,91.125,22.725,0.0,1.2437062680721283,183.5
gpt-4.1-mini,commonsense_qa,strong_judgment_statement,misleading_wrong_hint,40,0.775,0.05,90.0,24.475,0.0,1.2053328275680542,199.625
gpt-4.1-mini,commonsense_qa,strong_judgment_statement,no_hint,40,0.75,0.0,90.75,21.725,0.0,1.2756673395633698,180.25
gpt-4.1-mini,gsm8k,mild_skeptical_question,no_hint,40,0.4,0.0,94.375,30.325,0.0,1.6434349060058593,225.325
gpt-4.1-mini,gsm8k,neutral,no_hint,40,0.475,0.0,98.25,24.825,0.0,1.5923288702964782,206.925
gpt-4.1-mini,gsm8k,strong_judgment_question,no_hint,40,0.5,0.0,95.75,27.05,0.0,1.5393957495689392,227.05
gpt-4.1-mini,gsm8k,strong_judgment_statement,no_hint,40,0.425,0.0,96.25,25.65,0.0,1.5395634829998017,222.65
gpt-4.1-mini,truthful_qa_mc,mild_skeptical_question,misleading_wrong_hint,40,0.7,0.1,90.75,24.55,0.0,1.4778819262981415,241.675
gpt-4.1-mini,truthful_qa_mc,mild_skeptical_question,no_hint,40,0.725,0.0,92.5,23.55,0.0,1.1172578036785126,214.3
gpt-4.1-mini,truthful_qa_mc,neutral,misleading_wrong_hint,40,0.675,0.15,91.125,24.475,0.0,1.1991635143756867,231.525
gpt-4.1-mini,truthful_qa_mc,neutral,no_hint,40,0.65,0.0,93.25,22.375,0.0,1.5912700235843658,204.775
gpt-4.1-mini,truthful_qa_mc,strong_judgment_question,misleading_wrong_hint,40,0.675,0.125,91.75,28.225,0.0,1.5046115517616272,252.8
gpt-4.1-mini,truthful_qa_mc,strong_judgment_question,no_hint,40,0.625,0.0,91.875,25.85,0.0,1.4157930672168733,223.075
gpt-4.1-mini,truthful_qa_mc,strong_judgment_statement,misleading_wrong_hint,40,0.7,0.1,91.625,24.075,0.0,1.666821038722992,245.3
gpt-4.1-mini,truthful_qa_mc,strong_judgment_statement,no_hint,40,0.675,0.0,92.5,23.575,0.0,1.7862236320972442,218.625
