model,dataset,hint_condition,comparison,n,accuracy_delta_mean,hint_follow_delta_mean,confidence_delta_mean,rationale_word_delta_mean
gpt-4.1,commonsense_qa,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,-0.1,0.0,-0.75,2.075
gpt-4.1,commonsense_qa,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,-0.125,0.0,-0.925,2.075
gpt-4.1,commonsense_qa,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,-0.025,0.0,-0.625,-0.125
gpt-4.1,commonsense_qa,no_hint,mild_skeptical_question_vs_neutral,40,0.075,0.0,0.175,0.75
gpt-4.1,commonsense_qa,no_hint,strong_judgment_question_vs_neutral,40,0.0,0.0,-0.075,1.325
gpt-4.1,commonsense_qa,no_hint,strong_judgment_statement_vs_neutral,40,0.0,0.0,0.2,0.725
gpt-4.1,gsm8k,no_hint,mild_skeptical_question_vs_neutral,40,0.05,0.0,-0.125,1.95
gpt-4.1,gsm8k,no_hint,strong_judgment_question_vs_neutral,40,0.025,0.0,-0.05,2.875
gpt-4.1,gsm8k,no_hint,strong_judgment_statement_vs_neutral,40,0.05,0.0,0.075,0.775
gpt-4.1,truthful_qa_mc,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,0.05,-0.025,-0.9,1.125
gpt-4.1,truthful_qa_mc,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,0.025,-0.025,-0.175,1.325
gpt-4.1,truthful_qa_mc,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,0.0,0.0,-0.85,-0.325
gpt-4.1,truthful_qa_mc,no_hint,mild_skeptical_question_vs_neutral,40,0.025,0.0,0.0,1.875
gpt-4.1,truthful_qa_mc,no_hint,strong_judgment_question_vs_neutral,40,0.05,0.0,0.25,1.4
gpt-4.1,truthful_qa_mc,no_hint,strong_judgment_statement_vs_neutral,40,0.0,0.0,0.375,0.0
gpt-4.1-mini,commonsense_qa,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,-0.025,0.0,-0.75,0.025
gpt-4.1-mini,commonsense_qa,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,-0.05,0.0,-0.625,2.0
gpt-4.1-mini,commonsense_qa,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,-0.025,0.0,0.125,1.125
gpt-4.1-mini,commonsense_qa,no_hint,mild_skeptical_question_vs_neutral,40,0.05,0.0,-0.125,1.825
gpt-4.1-mini,commonsense_qa,no_hint,strong_judgment_question_vs_neutral,40,0.05,0.0,0.125,2.15
gpt-4.1-mini,commonsense_qa,no_hint,strong_judgment_statement_vs_neutral,40,0.0,0.0,-0.25,1.15
gpt-4.1-mini,gsm8k,no_hint,mild_skeptical_question_vs_neutral,40,-0.075,0.0,-3.875,5.5
gpt-4.1-mini,gsm8k,no_hint,strong_judgment_question_vs_neutral,40,0.025,0.0,-2.5,2.225
gpt-4.1-mini,gsm8k,no_hint,strong_judgment_statement_vs_neutral,40,-0.05,0.0,-2.0,0.825
gpt-4.1-mini,truthful_qa_mc,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,0.025,-0.05,-0.375,0.075
gpt-4.1-mini,truthful_qa_mc,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,0.0,-0.025,0.625,3.75
gpt-4.1-mini,truthful_qa_mc,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,0.025,-0.05,0.5,-0.4
gpt-4.1-mini,truthful_qa_mc,no_hint,mild_skeptical_question_vs_neutral,40,0.075,0.0,-0.75,1.175
gpt-4.1-mini,truthful_qa_mc,no_hint,strong_judgment_question_vs_neutral,40,-0.025,0.0,-1.375,3.475
gpt-4.1-mini,truthful_qa_mc,no_hint,strong_judgment_statement_vs_neutral,40,0.025,0.0,-0.75,1.2
